study_duration_days,study_eq_bins,study_eq_labels,num_oms,number_of_intervention_types,num_locations,number_of_conditions,allocation,masking,enroll_count,biological_intervention,procedure_intervention,drug_intervention,radiation_intervention,treatment_purpose,prevention_purpose,us_led,us_included,nci_sponsor,spacy_aes_outcome,spacy_osr_outcome,spacy_mtd_outcome,spacy_dor_outcome,spacy_dlt_outcome,spacy_cmax_outcome,spacy_aes_lead_outcome,spacy_dlt_lead_outcome,spacy_mtd_lead_outcome,spacy_tmax_outcome
1399.0,Low,0,6,5,0,1,missing,False,281.0,False,False,False,False,1,0,False,False,False,False,False,False,False,False,False,False,False,False,missing
1492.0,Low,0,2,1,0,2,False,False,92.0,False,False,False,False,1,0,False,False,False,False,True,True,False,True,True,False,True,True,False
2704.0,High,1,2,2,1,2,True,False,55.0,False,False,False,False,1,0,True,True,True,False,False,True,False,True,False,False,True,True,missing
3590.0,High,1,5,6,3,2,missing,False,12.0,False,False,False,False,1,0,True,True,False,False,False,True,False,True,False,False,True,True,missing
1068.0,Low,0,7,2,1,3,missing,False,6.0,False,False,False,False,1,0,False,False,False,False,True,True,False,True,True,False,True,True,True
1949.0,High,1,5,2,4,2,False,False,118.0,False,False,False,False,1,0,True,True,False,False,True,True,False,True,True,False,True,True,True
1798.0,Low,0,3,1,28,2,False,False,111.0,False,False,False,False,1,0,False,True,False,True,True,False,False,False,False,False,False,False,missing
231.0,Low,0,2,1,3,2,missing,False,25.0,False,False,False,False,1,0,True,True,False,True,True,True,False,True,True,True,True,True,True
871.0,Low,0,5,1,1,1,missing,False,30.0,False,False,False,False,1,0,False,False,False,True,True,False,False,True,False,False,False,False,missing
1553.0,Low,0,2,1,3,2,False,False,52.0,False,False,False,False,1,0,True,True,False,False,True,True,False,True,True,False,True,True,True
2128.0,High,1,2,1,1,1,missing,False,7.0,False,False,False,False,1,0,True,True,False,False,True,True,False,True,False,False,True,True,missing
2182.0,High,1,6,2,13,1,missing,False,93.0,False,False,False,False,1,0,True,True,False,True,False,True,False,True,False,True,True,True,missing
1461.0,Low,0,0,3,1,2,False,False,24.0,False,False,False,False,1,0,True,True,False,False,False,False,False,False,False,False,False,False,missing
1034.0,Low,0,3,2,18,1,missing,False,30.0,False,False,False,False,1,0,True,True,False,True,True,True,False,True,False,False,True,True,missing
1916.0,High,1,11,1,2,2,missing,False,50.0,False,False,False,False,0,0,False,False,False,True,True,False,False,True,False,True,True,False,missing
4471.0,High,1,6,4,8,2,True,False,79.0,False,False,False,False,1,0,True,True,False,False,True,True,False,True,False,False,True,True,missing
2132.0,High,1,3,4,1,1,missing,False,30.0,False,False,False,False,1,0,False,False,False,False,True,False,False,True,False,False,True,False,missing
690.0,Low,0,3,1,4,1,missing,False,16.0,False,False,False,False,1,0,True,True,False,True,True,True,False,True,False,True,True,True,missing
1188.0,Low,0,4,2,3,5,missing,False,19.0,False,False,False,False,1,0,True,True,False,False,True,True,False,True,True,False,True,True,True
3123.0,High,1,3,2,1,2,missing,False,42.0,False,False,False,False,1,0,True,True,False,False,True,True,False,True,True,False,True,True,True
1369.0,Low,0,0,5,1,2,missing,True,6.0,False,False,False,False,1,0,True,True,False,False,False,False,False,False,False,False,False,False,missing
1476.0,Low,0,7,1,6,5,missing,False,64.0,False,False,False,False,1,0,True,True,False,True,False,True,False,True,True,True,True,True,True
852.0,Low,0,5,1,4,2,missing,False,23.0,False,False,False,False,1,0,True,True,False,False,True,True,False,True,True,False,True,True,True
974.0,Low,0,6,1,3,1,missing,False,28.0,False,False,False,False,1,0,False,True,False,True,True,True,False,True,True,True,False,False,True
2891.0,High,1,0,2,3,2,False,False,54.0,False,False,False,False,1,0,True,True,False,False,False,False,False,False,False,False,False,False,missing
2403.0,High,1,5,2,1,1,True,True,73.0,False,False,False,False,1,0,False,False,False,False,True,False,False,False,False,False,False,False,missing
3106.0,High,1,1,7,14,2,missing,False,20.0,False,False,False,False,1,0,True,True,False,False,False,False,False,False,False,False,False,False,missing
