protocolSection_identificationModule_nctId,primary_study_duration_days,study_duration_days,primary_eq_bins,study_eq_bins,study_eq_labels,primary_eq_labels,number_of_conditions,number_of_groups,age_group,num_locations,location,num_inclusion,num_exclusion,number_of_intervention_types,sponsor_type,intervention_model,resp_party,has_dmc,phase,allocation,masking,enroll_count,healthy_vol,treatment_purpose,diagnostic_purpose,prevention_purpose,supportive_purpose,procedure_intervention,device_intervention,behavioral_intervention,drug_intervention,radiation_intervention,biological_intervention,os_outcome_measure,dor_outcome_measure,ae_outcome_measure,primary_max_days,secondary_max_days,max_treatment_duration,min_treatment_duration,survival_5yr_relative,conditions_category_num
NCT03194932,1204,1807.0,"(761.0, 1359.667]","(1594.0, 4453.0]",2,1,1,1,0,3,0,13.0,6.0,5,0,0.0,1.0,0.0,['PHASE1'],0.0,0.0,62,False,1,0,0,0,0,0,0,0,0,0,0,0,0,28.0,42.0,1095,730,0.65,4
NCT01802632,788,3936.0,"(761.0, 1359.667]","(1594.0, 4453.0]",2,1,2,1,1,45,2,16.0,7.0,1,1,0.0,1.0,0.0,"['PHASE1', 'PHASE2']",0.0,0.0,603,False,1,0,0,0,0,0,0,0,0,0,0,1,0,750.0,630.0,49,14,0.99,1
NCT01468532,2119,2119.0,"(1359.667, 4453.0]","(1594.0, 4453.0]",2,2,4,1,1,1,0,15.0,13.0,3,0,0.0,0.0,0.0,"['PHASE1', 'PHASE2']",0.0,0.0,18,False,1,0,0,0,0,0,0,0,0,0,1,0,1,57.0,730.0,1080,360,0.175,2
NCT01296932,2300,2341.0,"(1359.667, 4453.0]","(1594.0, 4453.0]",2,2,1,1,1,10,1,9.0,25.0,1,1,0.0,1.0,0.0,['PHASE1'],0.0,0.0,37,False,1,0,0,0,0,0,0,0,0,0,0,0,1,14.0,1809.0,1095,730,0.65,4
NCT03452332,1850,1850.0,"(1359.667, 4453.0]","(1594.0, 4453.0]",2,2,36,1,1,2,0,53.0,48.0,4,0,0.0,1.0,0.0,['PHASE1'],0.0,0.0,20,False,1,0,0,0,0,0,0,0,0,0,1,1,1,90.0,365.0,49,14,0.99,1
NCT01892137,243,304.0,"(-0.001, 761.0]","(-0.001, 929.333]",0,0,1,1,1,10,1,7.0,12.0,1,1,0.0,1.0,0.0,['PHASE1'],0.0,0.0,137,False,1,0,0,0,0,0,0,0,0,0,0,0,0,56.0,56.0,49,14,0.99,1
NCT02601937,2115,2115.0,"(1359.667, 4453.0]","(1594.0, 4453.0]",2,2,4,1,0,35,2,131.0,21.0,1,1,0.0,1.0,0.0,['PHASE1'],0.0,0.0,109,False,1,0,0,0,0,0,0,0,0,0,1,0,1,720.0,720.0,1825,240,0.65,6
NCT03016637,335,335.0,"(-0.001, 761.0]","(-0.001, 929.333]",0,0,1,1,1,1,1,1.0,1.0,1,0,0.0,0.0,0.0,"['PHASE1', 'PHASE2']",0.0,0.0,40,False,0,1,0,0,0,0,0,0,0,0,0,0,0,,14.0,4320,14,0.68,11
NCT01460537,1340,1491.0,"(761.0, 1359.667]","(929.333, 1594.0]",1,1,1,2,1,0,0,14.0,19.0,5,1,0.0,1.0,0.0,['PHASE1'],0.0,0.0,50,False,1,0,0,0,0,0,0,0,0,0,0,0,1,1095.0,1095.0,4320,14,0.68,11
NCT04327037,886,910.0,"(761.0, 1359.667]","(-0.001, 929.333]",0,1,2,1,0,1,1,8.0,5.0,2,0,0.0,1.0,0.0,['PHASE1'],0.0,0.0,10,False,1,0,0,0,0,0,0,0,0,0,0,0,1,30.0,60.0,1095,730,0.65,4
NCT01416337,180,180.0,"(-0.001, 761.0]","(-0.001, 929.333]",0,0,1,1,1,1,0,16.0,26.0,2,1,0.0,1.0,0.0,['PHASE1'],0.0,0.0,6,False,1,0,0,0,0,0,0,0,0,0,0,0,0,,11.0,4320,14,0.68,11
NCT02477215,936,1805.0,"(761.0, 1359.667]","(1594.0, 4453.0]",2,1,1,2,1,1,0,25.0,0.0,4,0,0.0,2.0,1.0,"['PHASE1', 'PHASE2']",0.0,0.0,38,False,1,0,0,0,0,0,0,0,0,0,1,1,0,540.0,1080.0,180,90,0.598,0
