study_duration_days,study_eq_bins,study_eq_labels,num_oms,number_of_intervention_types,num_locations,number_of_conditions,allocation,masking,enroll_count,biological_intervention,procedure_intervention,drug_intervention,radiation_intervention,treatment_purpose,prevention_purpose,us_led,us_included,nci_sponsor,spacy_aes_outcome,spacy_osr_outcome,spacy_mtd_outcome,spacy_dor_outcome,spacy_dlt_outcome,spacy_cmax_outcome,spacy_aes_lead_outcome,spacy_dlt_lead_outcome,spacy_mtd_lead_outcome,spacy_tmax_outcome
1095.0,Low,0,8,2,8,1,missing,False,40,False,False,False,False,1,0,False,True,False,True,True,False,False,False,True,True,False,False,True
1217.0,Low,0,8,1,8,1,missing,False,70,False,False,False,False,1,0,False,False,False,True,True,True,False,True,True,False,True,True,True
596.0,Low,0,22,1,13,1,missing,False,11,False,False,False,False,1,0,False,True,False,True,True,True,False,True,True,True,True,True,True
1277.0,Low,0,13,2,8,4,False,False,94,False,False,False,False,1,0,True,True,False,False,True,True,False,True,True,False,False,False,True
1015.0,Low,0,9,2,5,1,missing,False,12,False,False,False,False,1,0,True,True,False,False,True,True,False,True,True,False,True,True,True
3225.0,High,1,3,4,1,1,missing,False,20,False,False,False,False,1,0,True,True,False,False,True,True,False,True,True,False,True,True,True
37.0,Low,0,10,12,1,1,True,True,24,False,False,False,False,1,0,False,False,False,True,True,False,False,False,True,False,False,False,True
1095.0,Low,0,3,2,1,1,True,False,60,False,False,False,False,1,0,False,False,False,False,False,False,False,False,False,False,False,False,missing
486.0,Low,0,2,1,1,3,missing,False,7,False,False,False,False,1,0,False,False,False,True,False,False,False,False,False,True,False,False,missing
1441.0,High,1,6,1,1,1,missing,False,7,False,False,False,False,1,0,False,False,False,True,False,False,False,False,False,True,False,False,missing
1127.0,Low,0,5,2,4,5,missing,False,17,False,False,False,False,1,0,True,True,False,False,True,True,False,True,True,False,True,True,True
1211.0,Low,0,14,1,2,4,missing,False,57,False,False,False,False,1,0,False,False,False,True,True,True,False,True,True,True,True,True,True
667.0,Low,0,4,3,1,1,missing,False,6,False,False,False,False,1,0,True,True,False,True,True,True,False,True,False,False,False,False,missing
1253.0,Low,0,21,1,4,1,missing,False,287,False,False,False,False,1,0,False,False,False,True,True,True,False,True,True,True,True,True,True
1526.0,High,1,4,1,5,3,missing,False,63,False,False,False,False,1,0,True,True,False,True,True,True,False,True,True,True,True,True,True
3043.0,High,1,7,1,19,1,missing,False,311,False,False,False,False,1,0,True,True,False,True,False,True,False,True,False,True,True,True,missing
2067.0,High,1,6,2,10,2,missing,False,49,False,False,False,False,1,0,False,False,False,True,True,False,False,True,False,True,True,False,missing
911.0,Low,0,21,1,7,2,missing,False,31,False,False,False,False,1,0,False,False,False,False,True,True,False,True,False,False,True,False,missing
579.0,Low,0,5,1,1,1,missing,False,38,False,False,False,False,1,0,False,False,False,False,False,False,False,False,False,False,False,False,missing
